employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-76238574,Daniel,Burton,Female,New York,Rochester,2016-10-16,Marketing,SEO Specialist,Bachelor,88361,Excellent,No,1965-01-20,2021-12-14
00-24716857,Robert,Brown,Female,New York,Rochester,2017-05-19,Customer Service,Customer Service Representative,High School,55003,Good,No,1999-01-24,2020-06-19
00-66661351,Wendy,Rice,Female,New York,Buffalo,2020-12-20,Marketing,Content Creator,Bachelor,64310,Satisfactory,Yes,1997-05-14,2021-06-18
00-89978790,Michelle,Smith,Female,New York,Buffalo,2024-09-20,Operations,Logistics Coordinator,Bachelor,60911,Good,No,1990-09-27,2025-03-19
00-84252722,Erin,Herrera,Female,New York,Rochester,2023-04-08,Customer Service,Support Specialist,Bachelor,59107,Good,No,1961-08-26,2023-10-05
00-25374874,Danielle,Rodriguez,Female,New York,Buffalo,2022-06-08,HR,HR Coordinator,Master,65078,Excellent,No,1999-01-05,2022-12-05
00-45812670,Shawn,Mckay,Female,New York,Rochester,2022-11-15,Customer Service,Help Desk Technician,High School,63582,Excellent,No,1966-10-08,2023-05-14
00-49392920,Jose,Mason,Male,New York,New York City,2019-03-07,Sales,Sales Representative,Bachelor,67462,Satisfactory,No,1976-03-12,2019-09-03
00-45351479,Rita,Harrell,Male,New York,Rochester,2024-04-18,Sales,Sales Consultant,Master,63913,Good,No,1976-11-12,2024-10-15
00-24282218,Danielle,Lynch,Male,New York,New York City,2023-02-25,Operations,Inventory Specialist,High School,57005,Good,No,1996-11-19,2023-08-24
00-95758349,Kathryn,Ryan,Male,New York,Buffalo,2020-10-11,Sales,Sales Representative,Bachelor,76872,Good,No,1986-02-10,2021-04-20
00-60185867,Alyssa,Smith,Female,New York,Rochester,2022-04-28,Marketing,Marketing Coordinator,Bachelor,62585,Good,No,1976-10-26,2022-10-25
00-81182864,Andrew,Hickman,Male,New York,Buffalo,2024-11-16,IT,Software Developer,Bachelor,87264,Good,No,1998-07-11,2025-05-15
00-75579548,Marie,Parker,Female,New York,New York City,2015-01-22,IT,Software Developer,Bachelor,81583,Good,No,1974-07-05,2017-09-15
00-51273847,Natalie,Arroyo,Male,Michigan,Detroit,2017-02-01,Operations,Operations Analyst,Master,84510,Satisfactory,Yes,2001-12-10,2021-09-25
00-20570592,Todd,Jones,Male,New York,New York City,2016-10-04,Operations,Operations Analyst,Master,56386,Excellent,No,1990-06-25,2023-09-30
00-19289546,Katie,Anderson,Male,New York,New York City,2024-06-22,IT,Software Developer,Bachelor,90528,Good,No,1990-08-07,2024-12-19
00-26879290,Andrea,Baker,Male,New York,Buffalo,2016-11-14,Customer Service,Help Desk Technician,High School,82516,Satisfactory,No,1980-04-20,2021-04-11
00-32162965,Rodney,Lewis,Male,Michigan,Warren,2017-07-16,Finance,Accountant,Bachelor,82436,Good,Yes,1965-06-19,2021-09-10
00-38427073,Jessica,Harris,Female,New York,Rochester,2024-04-23,Sales,Sales Consultant,Bachelor,68513,Satisfactory,No,1979-08-06,2024-10-20
00-36998038,Wanda,Santos,Female,Michigan,Grand Rapids,2022-06-09,Customer Service,Customer Service Representative,Bachelor,65723,Good,No,1980-04-04,2022-12-06
00-97225156,Zachary,Martinez,Male,Virginia,Virginia Beach,2018-03-23,Marketing,Content Creator,Bachelor,67411,Needs Improvement,No,1988-12-01,2023-06-11
00-26240908,Matthew,Chapman,Male,Michigan,Grand Rapids,2017-03-25,IT,System Administrator,Bachelor,73835,Good,Yes,2002-08-27,2017-09-21
00-12823170,Jeffrey,Jones,Female,New York,New York City,2020-08-18,Sales,Sales Representative,Bachelor,54295,Good,Yes,1995-02-14,2021-02-14
00-39557077,Jeremy,Whitehead,Male,New York,Buffalo,2015-11-09,IT,System Administrator,Master,86694,Good,No,1997-09-02,2024-04-05
00-17901903,Chad,Young,Female,Pennsylvania,Allentown,2017-09-01,Customer Service,Customer Service Representative,Bachelor,56236,Good,No,1990-03-12,2023-03-07
00-54349361,Jason,Anderson,Female,Michigan,Detroit,2016-12-07,Operations,Inventory Specialist,Bachelor,63722,Good,No,1984-08-14,2018-11-24
00-99788677,Ashley,Kennedy,Male,New York,Rochester,2019-10-13,Operations,Inventory Specialist,High School,57128,Satisfactory,No,1988-03-09,2020-06-13
00-86644106,Lindsey,Lee,Female,New York,Rochester,2020-02-05,HR,Recruiter,High School,66736,Good,No,1978-02-08,2020-08-03
00-73481353,Ryan,Henderson,Female,Illinois,Aurora,2023-06-19,Sales,Sales Manager,Master,112880,Satisfactory,Yes,1973-11-29,2023-12-16
00-23009833,Jessica,Nunez,Female,New York,Rochester,2022-12-25,Customer Service,Help Desk Technician,High School,64948,Excellent,Yes,1990-03-03,2023-06-23
00-65177213,Corey,Powell,Male,Michigan,Grand Rapids,2019-05-04,Customer Service,Support Specialist,Bachelor,63850,Satisfactory,No,1991-04-11,2022-02-04
00-97705310,Michelle,Wright,Male,Michigan,Detroit,2024-03-10,Operations,Inventory Specialist,High School,56253,Satisfactory,No,1996-08-15,2024-09-06
00-64038913,Shane,Henderson,Female,New York,Rochester,2022-04-12,Customer Service,Support Specialist,High School,54312,Needs Improvement,Yes,1992-03-07,2022-10-09
00-35714784,John,Leblanc,Male,New York,Buffalo,2017-06-11,Customer Service,Support Specialist,Bachelor,64656,Satisfactory,No,1999-09-26,2022-12-14
00-66623995,Michelle,Pierce,Female,New York,Rochester,2017-01-19,HR,Recruiter,High School,57468,Good,Yes,1976-12-15,2017-07-18
00-20117988,Yvette,Huff,Female,North Carolina,Raleigh,2019-12-19,Customer Service,Help Desk Technician,High School,82689,Satisfactory,No,1999-09-20,2020-06-16
00-16789850,Sara,Allison,Female,New York,Buffalo,2022-03-02,Marketing,Marketing Coordinator,Bachelor,77632,Satisfactory,No,1979-08-31,2022-08-29
00-11980765,Todd,Lewis,Male,North Carolina,Greensboro,2024-05-26,Finance,Financial Analyst,PhD,96261,Good,No,1977-06-06,2024-11-22
00-64547971,Brian,Gray,Male,Ohio,Cleveland,2019-12-25,Customer Service,Customer Service Representative,High School,61630,Good,No,1990-11-16,2022-06-19
00-63826716,Joseph,Bowers,Male,New York,Rochester,2023-06-15,Sales,Sales Representative,Bachelor,77694,Needs Improvement,Yes,1979-11-04,2023-12-12
00-10289289,Rodney,Bernard,Male,New York,Buffalo,2024-12-29,Marketing,Content Creator,Bachelor,66018,Satisfactory,No,1975-03-31,2025-06-27
00-71070189,Angela,Higgins,Male,New York,New York City,2017-02-26,Operations,Logistics Coordinator,Bachelor,71243,Needs Improvement,Yes,1983-01-11,2024-05-08
00-84593961,Kenneth,Novak,Female,New York,Rochester,2022-07-30,Customer Service,Customer Service Representative,High School,64440,Good,Yes,1988-06-26,2023-01-26
00-35487660,Amy,Adkins,Male,New York,New York City,2017-01-21,Sales,Sales Specialist,Master,77490,Good,No,1998-06-17,2023-07-07
00-82772208,Breanna,Shaw,Male,New York,New York City,2016-11-07,Customer Service,Help Desk Technician,High School,83582,Excellent,Yes,1981-12-31,2018-04-28
00-16729990,Eric,Yu,Female,New York,Buffalo,2020-01-30,Operations,Logistics Coordinator,Bachelor,54143,Good,No,2000-11-18,2021-10-11
00-81286543,Jacob,Larson,Male,New York,Rochester,2017-09-03,Sales,Sales Representative,Bachelor,83046,Good,Yes,1982-03-03,2024-09-26
00-34941004,Joe,Wilson,Female,New York,Buffalo,2016-11-20,Operations,Inventory Specialist,Bachelor,56544,Good,No,1996-03-06,2019-04-06
00-41568532,John,Wheeler,Male,New York,New York City,2019-08-14,Sales,Sales Consultant,PhD,86509,Good,No,1992-03-13,2020-02-10
00-87701200,Robert,Silva,Female,New York,New York City,2020-07-09,Sales,Sales Representative,Bachelor,71064,Good,No,1983-08-29,2022-08-30
00-66267415,Sarah,Harris,Female,North Carolina,Greensboro,2022-09-18,IT,Software Developer,Master,98691,Good,Yes,2005-04-23,2023-03-17
00-52462441,John,Foster,Male,Illinois,Chicago,2024-09-02,Sales,Sales Representative,Bachelor,63761,Good,Yes,1990-08-09,2025-03-01
00-52169044,Kevin,Stewart,Male,New York,Buffalo,2017-10-01,Finance,Financial Analyst,PhD,89416,Satisfactory,No,1977-10-04,2022-05-15
00-96637649,Charles,Ellis,Male,New York,Rochester,2017-12-30,Sales,Sales Representative,Bachelor,76093,Satisfactory,Yes,1981-05-17,2019-08-14
00-19736572,Wendy,Jones,Female,Michigan,Warren,2015-03-19,Customer Service,Customer Service Representative,Bachelor,62403,Good,No,1994-11-24,2019-07-23
00-23419256,Joseph,Mahoney,Male,New York,New York City,2016-11-17,Sales,Sales Representative,Bachelor,66990,Good,No,1977-03-21,2021-08-31
00-45594597,Natasha,Wood,Female,Michigan,Warren,2017-02-27,Operations,Inventory Specialist,Bachelor,54665,Good,No,1983-05-03,2017-08-26
00-42787299,Martha,Warner,Female,New York,Rochester,2018-08-11,IT,IT Support Specialist,Bachelor,58824,Excellent,Yes,2002-01-29,2022-07-14
00-82909480,Vanessa,Valdez,Female,New York,Rochester,2022-01-03,Operations,Inventory Specialist,Bachelor,58277,Satisfactory,No,1973-08-25,2022-07-02
00-97775215,Lisa,Evans,Female,New York,Buffalo,2020-08-30,Operations,Inventory Specialist,High School,57384,Satisfactory,No,1985-12-02,2021-12-29
00-84437458,Sheila,Taylor,Male,New York,Buffalo,2017-02-12,Sales,Sales Representative,Bachelor,63101,Good,No,1983-10-22,2018-01-23
00-28024248,Daniel,Tran,Male,New York,New York City,2017-04-10,Operations,Operations Analyst,Bachelor,82022,Needs Improvement,No,2001-10-24,2022-09-30
00-84252420,Cassandra,Robbins,Female,New York,Buffalo,2017-03-16,Sales,Sales Consultant,PhD,86676,Good,No,1997-05-22,2024-03-06
00-38270233,Cynthia,Baker,Female,New York,Rochester,2022-06-27,Sales,Sales Representative,Bachelor,67357,Good,No,1984-07-17,2022-12-24
00-95125977,Rebecca,Mathis,Male,New York,New York City,2023-02-03,Operations,Operations Manager,Bachelor,113000,Good,No,1994-06-10,2023-08-02
00-43704923,Rodney,Hill,Female,New York,Buffalo,2023-01-02,Operations,Operations Analyst,Bachelor,77350,Satisfactory,No,1996-03-30,2023-09-11
00-95132217,Kellie,Walsh,Male,New York,Rochester,2019-04-06,Sales,Sales Specialist,Bachelor,73375,Satisfactory,Yes,1983-03-28,2019-10-03
00-10475894,Joyce,Arnold,Male,New York,Rochester,2018-06-05,IT,IT Support Specialist,Bachelor,68774,Satisfactory,No,2002-01-24,2024-06-13
00-45159040,Alec,Jones,Male,New York,Rochester,2017-11-18,Operations,Inventory Specialist,High School,63746,Good,No,1973-06-22,2024-12-27
00-67403166,Rebecca,Gardner,Female,New York,Rochester,2020-10-31,IT,Software Developer,Bachelor,91219,Satisfactory,No,1997-08-25,2021-04-29
00-30005727,Brandi,Hernandez,Male,Michigan,Detroit,2020-02-16,Operations,Inventory Specialist,Bachelor,70488,Satisfactory,No,2005-07-19,2020-08-14
00-84158663,Kyle,Nolan,Female,New York,Rochester,2017-10-17,Operations,Logistics Coordinator,Bachelor,60296,Satisfactory,No,2004-11-12,2020-08-16
00-51373735,Michelle,Nolan,Female,New York,New York City,2018-03-18,Marketing,Content Creator,High School,55234,Satisfactory,No,1999-05-14,2020-02-10
00-38195995,John,Garcia,Male,New York,Buffalo,2022-10-11,Sales,Sales Specialist,PhD,60885,Satisfactory,No,1974-03-22,2023-04-09
00-57469942,Nicole,Russell,Male,New York,Rochester,2023-08-14,IT,IT Support Specialist,Bachelor,68923,Good,No,1981-02-08,2024-02-10
00-30743797,Eric,Spears,Male,New York,Buffalo,2024-11-11,Operations,Inventory Specialist,High School,62982,Good,No,2001-10-25,2025-05-10
00-31810617,Theresa,Cochran,Female,North Carolina,Charlotte,2024-11-17,IT,Software Developer,Master,85953,Satisfactory,No,1978-05-26,2025-05-16
00-13326769,Angel,Doyle,Male,New York,New York City,2017-05-01,Operations,Inventory Specialist,High School,55946,Good,No,2000-07-23,2020-08-29
00-65259205,Sarah,Pham,Female,Ohio,Cleveland,2023-11-11,Customer Service,Customer Service Representative,Bachelor,58975,Satisfactory,No,1964-09-26,2024-05-09
00-43308443,Lisa,Adams,Female,New York,New York City,2017-10-14,Operations,Inventory Specialist,Bachelor,62373,Satisfactory,No,1987-03-15,2023-04-17
00-61343880,Daniel,Brennan,Female,Ohio,Cincinnati,2023-11-09,Operations,Inventory Specialist,Bachelor,60578,Good,Yes,2003-04-07,2024-05-07
00-36786211,Jeffrey,Velasquez,Female,Michigan,Grand Rapids,2023-06-17,Customer Service,Help Desk Technician,High School,64748,Satisfactory,No,2001-03-02,2023-12-14
00-50962024,Kevin,Pope,Female,New York,Buffalo,2023-03-24,Customer Service,Customer Service Representative,High School,60665,Excellent,No,1986-11-13,2023-09-20
00-13176186,Andrew,Lee,Male,Michigan,Warren,2022-04-30,Marketing,Content Creator,Bachelor,67556,Good,No,2006-05-30,2022-10-27
00-47393469,Michelle,Rasmussen,Female,New York,New York City,2023-04-12,Customer Service,Customer Service Representative,Bachelor,55698,Good,No,1969-04-14,2023-10-09
00-96098221,Darlene,Ross,Male,New York,Buffalo,2020-12-24,IT,System Administrator,Master,73275,Good,Yes,1973-09-15,2022-07-04
00-81969657,Amanda,Crosby,Female,New York,Buffalo,2018-02-11,Customer Service,Customer Service Manager,Bachelor,63016,Needs Improvement,No,1995-12-11,2023-11-06
00-45059710,Tara,White,Female,New York,Buffalo,2017-12-17,Sales,Sales Representative,Bachelor,66761,Good,No,1964-08-30,2021-04-08
00-24549543,Joseph,Rodriguez,Male,New York,New York City,2020-06-07,Sales,Sales Representative,Bachelor,65630,Satisfactory,Yes,1991-05-30,2024-02-22
00-52101056,Jessica,Edwards,Male,Michigan,Grand Rapids,2019-08-09,IT,Software Developer,Bachelor,89506,Good,Yes,1983-09-07,2020-02-05
00-61700055,William,Cruz,Male,New York,Rochester,2023-07-29,Marketing,SEO Specialist,Bachelor,68528,Satisfactory,No,1987-11-22,2024-01-25
00-15957459,Jonathan,Fletcher,Male,New York,Buffalo,2022-01-01,Operations,Logistics Coordinator,Bachelor,70873,Satisfactory,No,1967-12-31,2022-06-30
00-82269803,Sara,Ryan,Male,New York,New York City,2022-09-19,IT,Software Developer,Bachelor,91447,Good,No,2003-07-04,2023-03-18
00-36445607,Judy,Lambert,Male,Michigan,Grand Rapids,2018-05-13,Sales,Sales Representative,Bachelor,82318,Satisfactory,No,1979-03-22,2018-11-09
00-54318698,Chad,Beck,Female,New York,Rochester,2021-05-01,Finance,Financial Analyst,Bachelor,95130,Good,No,1985-05-05,2021-10-28
00-26726926,Lee,Charles,Female,New York,New York City,2022-09-19,Marketing,SEO Specialist,Bachelor,81221,Good,No,1989-02-28,2023-03-18
00-51511484,Kevin,Parker,Female,New York,New York City,2022-05-29,Marketing,Content Creator,Bachelor,59170,Excellent,No,1988-07-31,2022-11-25
00-49682169,Richard,Phillips,Male,New York,Rochester,2020-02-16,Sales,Sales Representative,Bachelor,74895,Satisfactory,Yes,1984-05-24,2020-08-14
00-99245317,Robert,Bentley,Male,New York,Rochester,2024-09-04,Sales,Sales Specialist,PhD,72936,Satisfactory,No,1997-06-24,2025-03-03
00-33357554,Raven,Gilbert,Male,New York,Buffalo,2021-04-20,Customer Service,Help Desk Technician,Bachelor,77388,Satisfactory,Yes,1998-10-13,2024-05-31
00-83542887,Amy,Smith,Male,Illinois,Naperville,2023-04-15,Customer Service,Customer Service Representative,High School,65922,Excellent,No,1963-11-20,2023-10-12
00-38210242,Russell,Carpenter,Male,New York,New York City,2019-08-27,IT,System Administrator,Master,93595,Satisfactory,No,1969-05-15,2020-02-23
00-97873101,Steven,Ramos,Male,New York,Rochester,2018-03-19,Operations,Inventory Specialist,Bachelor,63097,Good,Yes,1998-07-16,2018-09-15
00-38682516,Thomas,Santana,Female,New York,Buffalo,2020-10-17,Sales,Sales Consultant,Master,101921,Good,No,1984-08-22,2021-04-15
00-98429450,Gene,Miller,Female,North Carolina,Charlotte,2016-07-07,Customer Service,Help Desk Technician,High School,79291,Needs Improvement,No,1983-12-29,2022-04-23
00-94951883,Cynthia,Rogers,Male,Illinois,Naperville,2021-10-25,Sales,Sales Manager,Master,116247,Good,No,1986-05-06,2024-01-02
00-41523529,Karen,Chambers,Female,New York,Buffalo,2022-03-23,Sales,Sales Consultant,Bachelor,73491,Good,No,1974-03-11,2022-09-19
00-36726767,James,Johnson,Male,New York,Buffalo,2017-03-31,Customer Service,Customer Service Representative,Bachelor,72584,Satisfactory,No,1981-11-22,2023-03-04
00-73771720,Thomas,Atkinson,Male,Michigan,Detroit,2021-01-27,IT,IT Support Specialist,High School,58308,Good,Yes,1976-01-17,2021-07-26
00-65625330,Robert,Soto,Male,New York,New York City,2023-03-12,Sales,Sales Consultant,Master,70693,Good,No,1979-05-16,2023-09-08
00-61536717,Heather,Snyder,Female,New York,Buffalo,2020-03-30,Operations,Inventory Specialist,Bachelor,63182,Needs Improvement,No,1994-12-28,2020-09-26
00-98054615,Diana,Smith,Female,North Carolina,Charlotte,2022-10-01,Finance,Accountant,Bachelor,64365,Good,Yes,1978-09-08,2023-03-30
00-67062156,Kayla,Rodriguez,Male,New York,Rochester,2017-06-04,IT,Software Developer,Bachelor,96127,Good,No,1972-11-23,2017-12-01
00-72350830,Gregory,Rubio,Female,New York,Rochester,2016-07-08,Customer Service,Support Specialist,Bachelor,64288,Good,Yes,1972-09-11,2017-07-02
00-26288475,Brent,Wright,Female,Michigan,Detroit,2019-11-05,Marketing,Content Creator,Bachelor,56953,Satisfactory,No,1990-09-18,2021-03-14
00-81287314,Stephen,Solis,Female,Pennsylvania,Philadelphia,2024-08-31,Sales,Sales Representative,Bachelor,63071,Satisfactory,Yes,1988-06-29,2025-02-27
00-69401199,Vanessa,Larson,Female,Michigan,Grand Rapids,2021-12-12,Sales,Sales Specialist,PhD,75601,Good,Yes,1979-04-09,2022-06-10
00-67276174,Patricia,Salazar,Female,New York,Buffalo,2023-09-19,Customer Service,Customer Service Representative,Bachelor,58408,Good,No,1971-12-16,2024-03-17
00-31361812,William,Rivas,Male,New York,Buffalo,2022-07-19,Sales,Sales Consultant,Bachelor,97238,Good,Yes,1970-01-25,2023-01-15
00-44788100,Phyllis,Manning,Female,New York,Rochester,2022-06-22,Marketing,Marketing Coordinator,Bachelor,53182,Satisfactory,No,1988-12-14,2022-12-19
00-79967676,Jonathon,Wright,Female,Pennsylvania,Philadelphia,2019-08-21,Sales,Sales Representative,Bachelor,60473,Good,No,1985-11-05,2020-02-17
00-69038700,Katie,Boyd,Female,New York,Buffalo,2016-08-16,IT,System Administrator,Master,75316,Excellent,No,1975-03-13,2024-08-24
00-46468984,Joshua,Jones,Female,North Carolina,Charlotte,2018-04-15,Sales,Sales Consultant,Master,94198,Satisfactory,No,1968-07-05,2020-06-08
00-28572252,Joseph,Flores,Female,New York,Buffalo,2017-07-16,Customer Service,Customer Service Representative,Bachelor,62863,Good,No,1981-09-09,2021-05-19
00-30509175,Devon,Hall,Female,New York,Rochester,2022-09-10,Customer Service,Help Desk Technician,Bachelor,75108,Good,Yes,1997-12-17,2023-04-15
00-64707061,Jasmine,Brown,Male,New York,Buffalo,2018-05-29,Operations,Inventory Specialist,Bachelor,65021,Good,No,1984-01-08,2020-04-19
00-18357162,Amy,Perry,Female,New York,Rochester,2017-03-17,Operations,Inventory Specialist,High School,60041,Satisfactory,No,2003-01-15,2022-02-05
00-88393811,Robert,Stein,Male,New York,Rochester,2024-08-01,IT,Software Developer,Master,105677,Satisfactory,No,1976-02-15,2025-01-28
00-87267850,Heather,Gates,Male,Illinois,Chicago,2018-10-06,Marketing,Marketing Coordinator,Bachelor,73412,Good,No,1995-09-24,2019-04-04
00-50079111,Omar,Smith,Male,Ohio,Cleveland,2022-05-09,Sales,Sales Representative,Bachelor,63644,Satisfactory,No,1992-04-02,2022-11-05
00-83300637,Karen,Castaneda,Male,New York,Rochester,2023-12-14,Finance,Accountant,Bachelor,69329,Satisfactory,No,1995-05-27,2024-06-11
00-39450273,Robert,Adkins,Female,New York,New York City,2017-07-18,Marketing,Content Creator,High School,57550,Good,No,1973-08-13,2021-03-04
00-62191530,Carrie,Walker,Female,New York,Buffalo,2018-03-21,Customer Service,Support Specialist,Bachelor,58906,Satisfactory,No,1987-05-19,2018-09-17
00-64266464,Ryan,Johnson,Female,New York,New York City,2022-05-03,Customer Service,Help Desk Technician,High School,82450,Good,No,1999-10-01,2022-10-30
00-93517915,Erin,Powell,Male,New York,Rochester,2020-03-01,Sales,Sales Representative,Bachelor,70555,Good,Yes,1999-04-29,2020-08-28
00-85751409,Tanner,Anderson,Male,Illinois,Chicago,2022-08-15,Operations,Logistics Coordinator,Bachelor,59991,Excellent,Yes,1997-10-22,2024-04-26
00-67527432,Anthony,Long,Male,New York,New York City,2017-07-25,Customer Service,Help Desk Technician,High School,65421,Good,No,1983-12-24,2018-05-05
00-16749089,Anthony,Day,Male,New York,Buffalo,2017-02-19,IT,System Administrator,Master,90567,Satisfactory,No,1979-01-17,2017-08-18
00-71028710,Steven,Williams,Male,Ohio,Columbus,2018-05-18,Finance,Accounts Payable Specialist,Bachelor,62753,Good,No,1982-08-17,2023-10-25
00-66581473,Jason,Murphy,Female,New York,Rochester,2017-10-05,Finance,Accountant,Bachelor,89053,Satisfactory,No,1972-07-24,2021-08-19
00-12601580,Nicholas,Walton,Male,New York,Rochester,2022-10-30,Customer Service,Help Desk Technician,Bachelor,65857,Excellent,No,1981-04-09,2024-03-25
00-40094589,Johnny,Miller,Female,New York,Rochester,2022-01-08,Operations,Inventory Specialist,High School,57874,Needs Improvement,No,1978-02-19,2022-07-07
00-14164775,Amber,Cooke,Female,New York,Buffalo,2024-05-07,Operations,Inventory Specialist,Bachelor,52172,Excellent,Yes,2000-11-02,2024-11-03
00-12735359,Debra,Harrington,Male,New York,New York City,2021-08-26,Sales,Sales Representative,Bachelor,82368,Good,Yes,1991-04-10,2022-02-22
00-73560289,Karen,Herring,Male,New York,Rochester,2022-03-14,Operations,Inventory Specialist,High School,64775,Good,Yes,1983-12-15,2022-09-10
00-72415804,Andrew,Hernandez,Female,Michigan,Warren,2022-02-15,Operations,Inventory Specialist,Bachelor,62019,Good,Yes,1977-07-07,2022-08-14
00-91321540,Elizabeth,Elliott,Male,New York,New York City,2021-03-21,Marketing,Marketing Coordinator,Bachelor,73421,Good,No,2002-12-21,2021-09-17
00-25372341,Holly,Wang,Female,New York,Buffalo,2023-03-03,Finance,Financial Analyst,PhD,100272,Needs Improvement,Yes,1979-06-30,2023-08-30
00-24508768,Catherine,Adkins,Female,New York,Buffalo,2020-02-11,IT,IT Support Specialist,High School,60531,Satisfactory,No,1975-10-12,2022-01-24
00-60372847,Lori,Oconnell,Female,New York,New York City,2019-02-09,Operations,Operations Analyst,Bachelor,70882,Excellent,No,1988-10-05,2019-08-08
00-20200074,Anthony,Collins,Female,Michigan,Detroit,2020-09-04,IT,Software Developer,Bachelor,100838,Satisfactory,No,1987-01-26,2023-11-21
